Chimp	panTro4
Bonobo	panPan1
Gorilla	gorGor3
Orangutan	ponAbe2
Gibbon	nomLeu3
Rhesus	rheMac3
Crab_eating_macaque	macFas5
Baboon	papAnu2
Green_monkey	chlSab2
Proboscis_monkey	nasLar1
Golden_snub_nosed_monkey	rhiRox1
Marmoset	calJac3
Squirrel_monkey	saiBol1
Tarsier	tarSyr2
Bushbaby	otoGar3
Mouse_lemur	micMur2
Chinese_tree_shrew	tupChi1
Squirrel	speTri2
Lesser_Egyptian_jerboa	jacJac1
Prairie_vole	micOch1
Prairie_deer_mouse	perManBai1
Chinese_hamster	criGri1
Golden_hamster	mesAur1
Mouse	mm10
Rat	rn6
blind_mole_rat	nanGal1
Naked_mole_rat	hetGla2
Guinea_pig	cavPor3
Chinchilla	chiLan1
Brush_tailed_rat	octDeg1
Rabbit	oryCun2
Pika	ochPri3
Pig	susScr3
Alpaca	vicPac2
Bactrian_camel	camFer1
Dolphin	turTru2
Killer_whale	orcOrc1
Sperm_whale	phyCat1
Minke_whale	balAcu1
Tibetan_antelope	panHod1
Cow	bosTau8
Bison	bisBis1
Sheep	oviAri3
Domestic_goat	capHir1
Horse	equCab2
White_rhinoceros	cerSim1
Cat	felCat8
Dog	canFam3
Ferret	musFur1
Panda	ailMel1
Polar_bear	ursMar1
Pacific_walrus	odoRosDiv1
Weddell_seal	lepWed1
Chinese_pangolin	manPen1
Black_flying_fox	pteAle1
Megabat	pteVam1
Big_brown_bat	eptFus1
Davids_myotis_bat	myoDav1
Microbat	myoLuc2
Hedgehog	eriEur2
Shrew	sorAra2
Star_nosed_mole	conCri1
Elephant	loxAfr3
Cape_elephant_shrew	eleEdw1
Manatee	triMan1
Cape_golden_mole	chrAsi1
Tenrec	echTel2
Aardvark	oryAfe1
Armadillo	dasNov3
Opossum	monDom5
Tasmanian_devil	sarHar1
Wallaby	macEug2
Platypus	ornAna2
White_throated_sparrow	zonAlb1
Medium_ground_finch	geoFor1
Canary	serCan1
Zebra_finch	taeGut2
Collared_flycatcher	ficAlb2
Tibetan_ground_jay	pseHum1
Hooded_crow	corCor1
American_crow	corBra1
Golden_collared_manakin	manVit1
Budgerigar	melUnd1
Parrot	amaVit1
Scarlet_macaw	araMac1
Peregrine_falcon	falPer1
Saker_falcon	falChe1
Downy_woodpecker	picPub1
Bald_eagle	halLeu1
Golden_eagle	aquChr2
Little_egret	egrGar1
Crested_ibis	nipNip1
Adelie_penguin	pygAde1
Emperor_penguin	aptFor1
Killdeer	chaVoc2
Hoatzin	opiHoa1
Annas_hummingbird	calAnn1
Common_cuckoo	cucCan1
Rock_pigeon	colLiv1
Chicken	galGal4
Turkey	melGal1
Mallard_duck	anaPla1
White_throated_tinamou	tinGut2
Ostrich	strCam1
American_alligator	allMis1
Gharial	gavGan0
Green_seaturtle	cheMyd1
Painted_turtle	chrPic2
Chinese_softshell_turtle	pelSin1
Spiny_softshell_turtle	apaSpi1
Lizard	anoCar2
Burmese_python	pytBiv1
X_tropicalis	xenTro7
Tibetan_frog	nanPar1
Coelacanth	latCha1
Nile_tilapia	oreNil2
Princess_of_Burundi	neoBri1
Burtons_mouthbreeder	hapBur1
Zebra_mbuna	mayZeb1
Pundamilia_nyererei	punNye1
Bicolor_damselfish	stePar1
Medaka	oryLat2
Southern_platyfish	xipMac1
Amazon_molly	poeFor1
Guppy	poeRet1
Sheepshead_minnow	cypVar1
Stickleback	gasAcu1
Black_rockcod	notCor1
European_sea_bass	dicLab1
Tetraodon	tetNig2
Fugu	fr3
Yellowbelly_pufferfish	takFla1
Tongue_sole	cynSem1
Atlantic_cod	gadMor1
Northern_pike	esoLuc1
Zebrafish	danRer10
Mexican_tetra_cavefish	astMex1
Spotted_gar	lepOcu1
Elephant_shark	calMil1
Lamprey	petMar2
Arctic_lamprey	letCam1
Human	hg38
Sunda_flying_lemur	galVar1
